Date,Close/Last,Volume,Open,High,Low,,,Date,High
9/17/2020,10938.2,N/A,10873.6,10956.3,10890.8,,,9/17/2020,10956.3
9/16/2020,10887.4,N/A,10780.9,11039.3,10885.8,,,9/16/2020,11039.3
9/15/2020,10762.2,N/A,10752,10790.1,10669.2,,,9/15/2020,10790.1
9/14/2020,10739.2,N/A,10352.1,10832.3,10652.9,,,9/14/2020,10832.3
9/13/2020,10353,N/A,10551.7,10369.3,10264.5,,,9/13/2020,10369.3
9/12/2020,10546.3,N/A,10344.1,10556.3,10411.2,,,9/12/2020,10556.3
9/11/2020,10351.7,N/A,10218.4,10393.5,10326,,,9/11/2020,10393.5
9/10/2020,10222.9,N/A,10377.4,10377.5,10212.6,,,9/10/2020,10377.5
9/9/2020,10365.6,N/A,10028.2,10408.9,10219.2,,,9/9/2020,10408.9
9/8/2020,10000.4,N/A,10305.4,10149,9984.6,,,9/8/2020,10149
9/7/2020,10305.7,N/A,10205.3,10434.4,10305.5,,,9/7/2020,10434.4
9/6/2020,10195.3,N/A,10169.2,10296.4,10193.9,,,9/6/2020,10296.4
9/5/2020,10169.7,N/A,10411.5,10239.9,10067.4,,,9/5/2020,10239.9
9/4/2020,10432.4,N/A,10249,10558.7,10392.3,,,9/4/2020,10558.7
9/3/2020,10249.6,N/A,11375.5,10329.9,10098.1,,,9/3/2020,10329.9
9/2/2020,11375.1,N/A,11830.2,11437.4,11359,,,9/2/2020,11437.4
9/1/2020,11844.4,N/A,11682.8,11947.5,11821.6,,,9/1/2020,11947.5
8/31/2020,11674.8,N/A,11669.1,11692,11544.6,,,8/31/2020,11692
8/30/2020,11668.4,N/A,11603,11712.2,11659.3,,,8/30/2020,11712.2
8/29/2020,11600.8,N/A,11502,11623.6,11462.6,,,8/29/2020,11623.6
8/28/2020,11496.2,N/A,11379.3,11539.8,11468.2,,,8/28/2020,11539.8
8/27/2020,11368,N/A,11390.2,11396.1,11281.9,,,8/27/2020,11396.1
8/26/2020,11401.6,N/A,11365.2,11479.7,11367.4,,,8/26/2020,11479.7
8/25/2020,11350.2,N/A,11673.4,11401,11256.8,,,8/25/2020,11401
8/24/2020,11690.4,N/A,11675.2,11766.9,11661.1,,,8/24/2020,11766.9
8/23/2020,11666.8,N/A,11596.5,11681.1,11587.1,,,8/23/2020,11681.1
8/22/2020,11591.8,N/A,11476.6,11680.5,11583.3,,,8/22/2020,11680.5
8/21/2020,11468.1,N/A,11867.5,11536.9,11382.1,,,8/21/2020,11536.9
8/20/2020,11847.5,N/A,11697,11877.4,11783.6,,,8/20/2020,11877.4
8/19/2020,11718,N/A,11834.5,11822.2,11703.4,,,8/19/2020,11822.2
8/18/2020,11855.9,N/A,12298.3,12013.2,11844.8,,,8/18/2020,12013.2
8/17/2020,12283,N/A,11838,12381.4,12273.5,,,8/17/2020,12381.4
8/16/2020,11857.3,N/A,11917.5,11919.7,11764,,,8/16/2020,11919.7
8/15/2020,11904.6,N/A,11876,11909.7,11782.7,,,8/15/2020,11909.7
8/14/2020,11865.4,N/A,11720.7,11962.9,11750.7,,,8/14/2020,11962.9
8/13/2020,11735.7,N/A,11573.4,11820.3,11668.5,,,8/13/2020,11820.3
8/12/2020,11575.9,N/A,11370.5,11652.1,11536.3,,,8/12/2020,11652.1
8/11/2020,11354.3,N/A,11831.1,11408.8,11233.3,,,8/11/2020,11408.8
8/10/2020,11823.1,N/A,11998.9,11931.8,11819,,,8/10/2020,11931.8
8/9/2020,12008.2,N/A,11735.5,12041.1,11681.1,,,8/9/2020,12041.1
8/8/2020,11743.6,N/A,11550.1,11792.8,11669.7,,,8/8/2020,11792.8
8/7/2020,11549.1,N/A,11827.6,11650.4,11537.6,,,8/7/2020,11650.4
8/6/2020,11850.5,N/A,11651.1,11901.8,11740,,,8/6/2020,11901.8
8/5/2020,11653.3,N/A,11233.6,11790.2,11606.3,,,8/5/2020,11790.2
8/4/2020,11221.5,N/A,11259.8,11228.3,11114.5,,,8/4/2020,11228.3
8/3/2020,11254.1,N/A,11132.5,11407.8,11222.2,,,8/3/2020,11407.8
8/2/2020,11157.1,N/A,11968.2,11202.7,10981.6,,,8/2/2020,11202.7
8/1/2020,11941.5,N/A,11360.7,11943.4,11754.8,,,8/1/2020,11943.4
7/31/2020,11387.8,N/A,10972.3,11394.3,11226.1,,,7/31/2020,11394.3
7/30/2020,10980.8,N/A,10987.6,11124.4,10964.6,,,7/30/2020,11124.4
7/29/2020,10999,N/A,10970.9,11114.4,10959.9,,,7/29/2020,11114.4
7/28/2020,10956.7,N/A,10964.8,10989.8,10771.8,,,7/28/2020,10989.8
7/27/2020,10935.6,N/A,10196,11229.1,10854.2,,,7/27/2020,11229.1
7/26/2020,10192,N/A,9666.2,10211.2,9894.6,,,7/26/2020,10211.2
